	Organism	Txid	Temp	OGT	Source	Features
39	Methanocaldococcus vulcanius M7		Thermophile		genebank	{'locus': 'NC_013407.1'}
40	Methanocaldococcus vulcanius M7		49 - 89C		genebank	{'locus': 'NC_013407.1'}
41	Methanocaldococcus vulcanius M7		Thermophile		genebank	{'locus': 'NC_013408.1'}
42	Methanocaldococcus vulcanius M7		49 - 89C		genebank	{'locus': 'NC_013408.1'}
43	Methanocaldococcus vulcanius M7		Thermophile		genebank	{'locus': 'NC_013409.1'}
44	Methanocaldococcus vulcanius M7		49 - 89C		genebank	{'locus': 'NC_013409.1'}
45	Aciduliprofundum boonei T469		Thermophile		genebank	{'locus': 'NC_013926.1'}
46	Aciduliprofundum boonei T469		70C		genebank	{'locus': 'NC_013926.1'}
47	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013743.1'}
48	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013744.1'}
49	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013745.1'}
50	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013746.1'}
51	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013747.1'}
52	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013748.1'}
53	Haloterrigena turkmenica DSM 5511		Mesophile		genebank	{'locus': 'NC_013749.1'}
54	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014729.1'}
55	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014729.1'}
56	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014735.1'}
57	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014735.1'}
58	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014731.1'}
59	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014731.1'}
60	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014736.1'}
61	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014736.1'}
62	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014732.1'}
63	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014732.1'}
64	Halogeometricum borinquense DSM 11551		Mesophile		genebank	{'locus': 'NC_014737.1'}
65	Halogeometricum borinquense DSM 11551		40C		genebank	{'locus': 'NC_014737.1'}
66	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111		Mesophile		genebank	{'locus': 'NC_014210.1'}
67	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111		28C		genebank	{'locus': 'NC_014210.1'}
68	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111		Mesophile		genebank	{'locus': 'NC_014211.1'}
69	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111		28C		genebank	{'locus': 'NC_014211.1'}
70	[Bacillus] selenitireducens MLS10		Mesophile		genebank	{'locus': 'NC_014219.1'}
71	Acidimicrobium ferrooxidans DSM 10331		Thermophile		genebank	{'locus': 'NC_013124.1'}
72	Acidimicrobium ferrooxidans DSM 10331		48C		genebank	{'locus': 'NC_013124.1'}
73	Streptosporangium roseum DSM 43021		Mesophile		genebank	{'locus': 'NC_013595.1'}
74	Streptosporangium roseum DSM 43021		28C		genebank	{'locus': 'NC_013595.1'}
75	Streptosporangium roseum DSM 43021		Mesophile		genebank	{'locus': 'NC_013596.1'}
76	Streptosporangium roseum DSM 43021		28C		genebank	{'locus': 'NC_013596.1'}
77	Exiguobacterium sp. AT1b		Thermophile		genebank	{'locus': 'NC_012673.1'}
78	Syntrophothermus lipocalidus DSM 12680		Thermophile		genebank	{'locus': 'NC_014220.1'}
79	Syntrophothermus lipocalidus DSM 12680		55C		genebank	{'locus': 'NC_014220.1'}
80	Conexibacter woesei DSM 14684		Mesophile		genebank	{'locus': 'NC_013739.1'}
81	Conexibacter woesei DSM 14684		28C		genebank	{'locus': 'NC_013739.1'}
82	Arcobacter nitrofigilis DSM 7299		Mesophile		genebank	{'locus': 'NC_014166.1'}
83	Arcobacter nitrofigilis DSM 7299		25C		genebank	{'locus': 'NC_014166.1'}
84	Kangiella koreensis DSM 16069		Mesophile		genebank	{'locus': 'NC_013166.1'}
85	Kangiella koreensis DSM 16069		30 - 37C		genebank	{'locus': 'NC_013166.1'}
86	Thermocrinis albus DSM 14484		Hyperthermophile		genebank	{'locus': 'NC_013894.1'}
87	Thermocrinis albus DSM 14484		80C		genebank	{'locus': 'NC_013894.1'}
88	Allochromatium vinosum DSM 180		Mesophile		genebank	{'locus': 'NC_013851.1'}
89	Allochromatium vinosum DSM 180		25C		genebank	{'locus': 'NC_013851.1'}
90	Allochromatium vinosum DSM 180		Mesophile		genebank	{'locus': 'NC_013852.1'}
91	Allochromatium vinosum DSM 180		25C		genebank	{'locus': 'NC_013852.1'}
92	Allochromatium vinosum DSM 180		Mesophile		genebank	{'locus': 'NC_013862.1'}
93	Allochromatium vinosum DSM 180		25C		genebank	{'locus': 'NC_013862.1'}
94	Thermobispora bispora DSM 43833		Thermophile		genebank	{'locus': 'NC_014165.1'}
95	Thermobispora bispora DSM 43833		55 - 65C		genebank	{'locus': 'NC_014165.1'}
96	Hyphomicrobium denitrificans ATCC 51888		Mesophile		genebank	{'locus': 'NC_014313.1'}
97	Sanguibacter keddieii DSM 10542		Mesophile		genebank	{'locus': 'NC_013521.1'}
98	Sanguibacter keddieii DSM 10542		25-30C		genebank	{'locus': 'NC_013521.1'}
99	Eggerthella lenta DSM 2243		Mesophile		genebank	{'locus': 'NC_013204.1'}
100	Eggerthella lenta DSM 2243		37C		genebank	{'locus': 'NC_013204.1'}
101	Arcanobacterium haemolyticum DSM 20595		Mesophile		genebank	{'locus': 'NC_014218.1'}
102	Arcanobacterium haemolyticum DSM 20595		37C		genebank	{'locus': 'NC_014218.1'}
103	Nakamurella multipartita DSM 44233		Mesophile		genebank	{'locus': 'NC_013235.1'}
104	Nakamurella multipartita DSM 44233		28C		genebank	{'locus': 'NC_013235.1'}
105	Kytococcus sedentarius DSM 20547		Mesophile		genebank	{'locus': 'NC_013169.1'}
106	Kytococcus sedentarius DSM 20547		28 - 36C		genebank	{'locus': 'NC_013169.1'}
107	Pectobacterium carotovorum subsp. carotovorum PC1		Mesophile		genebank	{'locus': 'NC_012917.1'}
108	Jonesia denitrificans DSM 20603		Mesophile		genebank	{'locus': 'NC_013174.1'}
109	Jonesia denitrificans DSM 20603		37C		genebank	{'locus': 'NC_013174.1'}
110	Hirschia baltica ATCC 49814		Mesophile		genebank	{'locus': 'NC_012982.1'}
111	Hirschia baltica ATCC 49814		Mesophile		genebank	{'locus': 'NC_012983.1'}
112	Rhodothermus marinus DSM 4252		Thermophile		genebank	{'locus': 'NC_013501.1'}
113	Rhodothermus marinus DSM 4252		65C		genebank	{'locus': 'NC_013501.1'}
114	Rhodothermus marinus DSM 4252		Thermophile		genebank	{'locus': 'NC_013502.1'}
115	Rhodothermus marinus DSM 4252		65C		genebank	{'locus': 'NC_013502.1'}
116	Escherichia coli DH1		Mesophile		genebank	{'locus': 'NC_017625.1'}
117	Escherichia coli DH1		37 C		genebank	{'locus': 'NC_017625.1'}
118	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		Thermophile		genebank	{'locus': 'NC_013205.1'}
119	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		60C		genebank	{'locus': 'NC_013205.1'}
120	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		Thermophile		genebank	{'locus': 'NC_013206.1'}
121	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		60C		genebank	{'locus': 'NC_013206.1'}
122	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		Thermophile		genebank	{'locus': 'NC_013207.1'}
123	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		60C		genebank	{'locus': 'NC_013207.1'}
124	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		Thermophile		genebank	{'locus': 'NC_013208.1'}
125	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		60C		genebank	{'locus': 'NC_013208.1'}
126	Veillonella parvula DSM 2008		Mesophile		genebank	{'locus': 'NC_013520.1'}
127	Veillonella parvula DSM 2008		37C		genebank	{'locus': 'NC_013520.1'}
128	Caulobacter segnis ATCC 21756		Mesophile		genebank	{'locus': 'NC_014100.1'}
129	Fibrobacter succinogenes subsp. succinogenes S85		Mesophile		genebank	{'locus': 'NC_013410.1'}
130	Fibrobacter succinogenes subsp. succinogenes S85		37C		genebank	{'locus': 'NC_013410.1'}
131	Haliangium ochraceum DSM 14365		Mesophile		genebank	{'locus': 'NC_013440.1'}
132	Haliangium ochraceum DSM 14365		30C		genebank	{'locus': 'NC_013440.1'}
133	Capnocytophaga ochracea DSM 7271		Mesophile		genebank	{'locus': 'NC_013162.1'}
134	Capnocytophaga ochracea DSM 7271		30 - 37C		genebank	{'locus': 'NC_013162.1'}
135	Thioalkalivibrio sp. K90mix		Mesophile		genebank	{'locus': 'NC_013889.1'}
136	Thioalkalivibrio sp. K90mix		Mesophile		genebank	{'locus': 'NC_013930.1'}
137	Geobacillus sp. Y412MC61		Mesophile		genebank	{'locus': 'NC_013411.1'}
138	Geobacillus sp. Y412MC61		Mesophile		genebank	{'locus': 'NC_013412.1'}
139	Nitrosococcus halophilus Nc 4		Mesophilic		genebank	{'locus': 'NC_013960.1'}
140	Nitrosococcus halophilus Nc 4		Mesophilic		genebank	{'locus': 'NC_013958.1'}
141	Tolumonas auensis DSM 9187		Mesophile		genebank	{'locus': 'NC_012691.1'}
142	Pedobacter heparinus DSM 2366		Mesophile		genebank	{'locus': 'NC_013061.1'}
143	Pedobacter heparinus DSM 2366		25 - 30C		genebank	{'locus': 'NC_013061.1'}
144	Halothiobacillus neapolitanus c2		Mesophile		genebank	{'locus': 'NC_013422.1'}
145	Halothiobacillus neapolitanus c2		30 - 40C		genebank	{'locus': 'NC_013422.1'}
146	Variovorax paradoxus S110		Mesophile		genebank	{'locus': 'NC_012791.1'}
147	Variovorax paradoxus S110		Mesophile		genebank	{'locus': 'NC_012792.1'}
148	Escherichia coli 'BL21-Gold(DE3)pLysS AG'		Mesophile		genebank	{'locus': 'NC_012947.1'}
149	Escherichia coli 'BL21-Gold(DE3)pLysS AG'		37 C		genebank	{'locus': 'NC_012947.1'}
150	Cyanothece sp. PCC 8802		Mesophile		genebank	{'locus': 'NC_013161.1'}
151	Cyanothece sp. PCC 8802		Mesophile		genebank	{'locus': 'NC_013160.1'}
152	Cyanothece sp. PCC 8802		Mesophile		genebank	{'locus': 'NC_013163.1'}
153	Cyanothece sp. PCC 8802		Mesophile		genebank	{'locus': 'NC_013167.1'}
154	Cyanothece sp. PCC 8802		Mesophile		genebank	{'locus': 'NC_013168.1'}
155	Thauera sp. MZ1T		Mesophile		genebank	{'locus': 'NC_011662.2'}
156	Meiothermus silvanus DSM 9946		Thermophile		genebank	{'locus': 'NC_014212.1'}
157	Meiothermus silvanus DSM 9946		50C		genebank	{'locus': 'NC_014212.1'}
158	Meiothermus silvanus DSM 9946		Thermophile		genebank	{'locus': 'NC_014213.1'}
159	Meiothermus silvanus DSM 9946		50C		genebank	{'locus': 'NC_014213.1'}
160	Meiothermus silvanus DSM 9946		Thermophile		genebank	{'locus': 'NC_014214.1'}
161	Meiothermus silvanus DSM 9946		50C		genebank	{'locus': 'NC_014214.1'}
162	Cellulomonas flavigena DSM 20109		Mesophile		genebank	{'locus': 'NC_014151.1'}
163	Cellulomonas flavigena DSM 20109		30C		genebank	{'locus': 'NC_014151.1'}
164	Geobacter sp. M21		Mesophile		genebank	{'locus': 'NC_012918.1'}
165	Thermoanaerobacter mathranii subsp. mathranii str. A3		Thermophile		genebank	{'locus': 'NC_014209.1'}
166	Thermoanaerobacter mathranii subsp. mathranii str. A3		70 - 75C		genebank	{'locus': 'NC_014209.1'}
167	Acidithiobacillus caldus	0	['45', '45', '32', '52', '55']		https://en.wikipedia.org/wiki/Acidithiobacillus_caldus	
168	Acidithiobacillus caldus ATCC 51756	['637389']	['45', '45', '32', '52', '55']		https://en.wikipedia.org/wiki/Acidithiobacillus_caldus	
169	Acidithiobacillus caldus SM-1	['990288']	['45', '45', '32', '52', '55']		https://en.wikipedia.org/wiki/Acidithiobacillus_caldus	
170	Aciduliprofundum boonei T469	['439481']	['77', '70']		https://en.wikipedia.org/wiki/Aciduliprofundum_boonei	
171	Aeromonas dhakensis	0	['37']		https://en.wikipedia.org/wiki/Aeromonas_dhakensis	
172	Aeromonas salmonicida	0	['25', '25', '37', '25']		https://en.wikipedia.org/wiki/Aeromonas_salmonicida	
173	Aeromonas salmonicida subsp. masoucida	0	['25', '25', '37', '25']		https://en.wikipedia.org/wiki/Aeromonas_salmonicida	
174	Aeromonas salmonicida subsp. pectinolytica 34mel	['1324960']	['25', '25', '37', '25']		https://en.wikipedia.org/wiki/Aeromonas_salmonicida	
175	Aeromonas salmonicida subsp. salmonicida A449	['382245']	['25', '25', '37', '25']		https://en.wikipedia.org/wiki/Aeromonas_salmonicida	
176	Alcaligenes faecalis	0	['37']		https://en.wikipedia.org/wiki/Alcaligenes_faecalis	
177	Alcanivorax borkumensis SK2	['393595']	['35']		https://en.wikipedia.org/wiki/Alcanivorax_borkumensis	
178	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	['521098']	['65', '70']		https://en.wikipedia.org/wiki/Alicyclobacillus_acidocaldarius	
179	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	['1048834']	['65', '70']		https://en.wikipedia.org/wiki/Alicyclobacillus_acidocaldarius	
180	Aquifex aeolicus VF5	['224324']	['95']		https://en.wikipedia.org/wiki/Aquifex_aeolicus	
181	Archaeoglobus fulgidus DSM 4304	['224325']	['95', '83', '83']		https://en.wikipedia.org/wiki/Archaeoglobus_fulgidus	
182	Archaeoglobus fulgidus DSM 8774	['1344584']	['95', '83', '83']		https://en.wikipedia.org/wiki/Archaeoglobus_fulgidus	
183	Archaeoglobus sulfaticallidus PM70-1	['387631']	['95', '83', '83']		https://en.wikipedia.org/wiki/Archaeoglobus_sulfaticallidus	
184	Archaeoglobus veneficus SNP6	['693661']	['95', '83', '83']		https://en.wikipedia.org/wiki/Archaeoglobus_veneficus	
185	Bacillus cereus	0	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
186	Bacillus cereus 03BB102	['572264']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
187	Bacillus cereus 03BB108	['451709']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
188	Bacillus cereus AH187	['405534']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
189	Bacillus cereus AH820	['405535']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
190	Bacillus cereus ATCC 10987	['222523']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
191	Bacillus cereus ATCC 14579	['226900']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
192	Bacillus cereus ATCC 4342	['526977']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
193	Bacillus cereus B4264	['405532']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
194	Bacillus cereus biovar anthracis str. CI	['637380']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
195	Bacillus cereus C1L	['1003239']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
196	Bacillus cereus D17	['1454382']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
197	Bacillus cereus E33L	['288681']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
198	Bacillus cereus F837/76	['347495']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
199	Bacillus cereus FRI-35	['1217984']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
200	Bacillus cereus G9241	['269801']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
201	Bacillus cereus G9842	['405531']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
202	Bacillus cereus NC7401	['334406']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
203	Bacillus cereus Q1	['361100']	['30', '30', '100', '10', '50', '10', '50', '56', '121', '50']		https://en.wikipedia.org/wiki/Bacillus_cereus	
204	Bacillus coagulans	0	['50', '55']		https://en.wikipedia.org/wiki/Bacillus_coagulans	
205	Bacillus coagulans 2-6	['941639']	['50', '55']		https://en.wikipedia.org/wiki/Bacillus_coagulans	
206	Bacillus coagulans 36D1	['345219']	['50', '55']		https://en.wikipedia.org/wiki/Bacillus_coagulans	
207	Bacillus coagulans DSM 1 = ATCC 7050	['1121088']	['50', '55']		https://en.wikipedia.org/wiki/Bacillus_coagulans	
208	Bacillus licheniformis	0	['50', '37', '10', '50', '55']		https://en.wikipedia.org/wiki/Bacillus_licheniformis	
209	Bacillus licheniformis DSM 13 = ATCC 14580	['279010']	['50', '37', '10', '50', '55']		https://en.wikipedia.org/wiki/Bacillus_licheniformis	
210	Bacillus megaterium	0	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
211	Bacillus megaterium DSM 319	['592022']	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
212	Bacillus megaterium NBRC 15308 = ATCC 14581	['1348623']	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
213	Bacillus megaterium Q3	['1452722']	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
214	Bacillus megaterium QM B1551	['545693']	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
215	Bacillus megaterium WSH-002	['1006007']	['45', '30', '63', '30']		https://en.wikipedia.org/wiki/Bacillus_megaterium	
216	Bacillus methanolicus MGA3	['796606']	['60']		https://en.wikipedia.org/wiki/Bacillus_methanolicus	
217	Bacillus safensis	0	['50', '37', '55']		https://en.wikipedia.org/wiki/Bacillus_safensis	
218	Bacteriovorax stolpii	['960']	['35']		https://en.wikipedia.org/wiki/Bacteriovorax_stolpii	
219	Bacteroides dorei CL03T12C01	['997877']	['37', '37']		https://en.wikipedia.org/wiki/Bacteroides_dorei	
220	Bartonella bacilliformis	0	['29', '25']		https://en.wikipedia.org/wiki/Bartonella_bacilliformis	
221	Bartonella bacilliformis KC583	['360095']	['29', '25']		https://en.wikipedia.org/wiki/Bartonella_bacilliformis	
222	Bdellovibrio bacteriovorus	0	['29']		https://en.wikipedia.org/wiki/Bdellovibrio_bacteriovorus	
223	Bdellovibrio bacteriovorus HD100	['264462']	['29']		https://en.wikipedia.org/wiki/Bdellovibrio_bacteriovorus	
224	Bdellovibrio bacteriovorus str. Tiberius	['1069642']	['29']		https://en.wikipedia.org/wiki/Bdellovibrio_bacteriovorus	
225	Bdellovibrio bacteriovorus W	['765869']	['29']		https://en.wikipedia.org/wiki/Bdellovibrio_bacteriovorus	
226	Bordetella trematum	0	['42', '37']		https://en.wikipedia.org/wiki/Bordetella_trematum	
227	Brachybacterium faecium DSM 4810	['446465']	['30']		https://en.wikipedia.org/wiki/Brachybacterium_faecium	
228	Brachybacterium ginsengisoli	['1331682']	['25', '34']		https://en.wikipedia.org/wiki/Brachybacterium_ginsengisoli	
229	Brevibacillus brevis NBRC 100599	['358681']	['55']		https://en.wikipedia.org/wiki/Brevibacillus_brevis	
230	Brevibacillus brevis X23	['1200792']	['55']		https://en.wikipedia.org/wiki/Brevibacillus_brevis	
231	Burkholderia mallei	0	['37']		https://en.wikipedia.org/wiki/Burkholderia_mallei	
232	Burkholderia mallei ATCC 23344	['243160']	['37']		https://en.wikipedia.org/wiki/Burkholderia_mallei	
233	Burkholderia mallei NCTC 10229	['412022']	['37']		https://en.wikipedia.org/wiki/Burkholderia_mallei	
234	Burkholderia mallei NCTC 10247	['320389']	['37']		https://en.wikipedia.org/wiki/Burkholderia_mallei	
235	Burkholderia mallei SAVP1	['320388']	['37']		https://en.wikipedia.org/wiki/Burkholderia_mallei	
236	Burkholderia pseudomallei	0	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
237	Burkholderia pseudomallei 1026b	['884204']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
238	Burkholderia pseudomallei 1106a	['357348']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
239	Burkholderia pseudomallei 1710b	['320372']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
240	Burkholderia pseudomallei 406e	['360118']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
241	Burkholderia pseudomallei 576	['557724']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
242	Burkholderia pseudomallei 668	['320373']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
243	Burkholderia pseudomallei 7894	['441156']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
244	Burkholderia pseudomallei A79A	['1439855']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
245	Burkholderia pseudomallei B03	['1439854']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
246	Burkholderia pseudomallei BPC006	['1229785']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
247	Burkholderia pseudomallei HBPUB10134a	['1306418']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
248	Burkholderia pseudomallei HBPUB10303a	['1306419']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
249	Burkholderia pseudomallei K42	['1439852']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
250	Burkholderia pseudomallei K96243	['272560']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
251	Burkholderia pseudomallei MSHR146	['1249471']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
252	Burkholderia pseudomallei MSHR2543	['1249472']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
253	Burkholderia pseudomallei MSHR305	['1335307']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
254	Burkholderia pseudomallei MSHR491	['1249473']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
255	Burkholderia pseudomallei MSHR511	['1249474']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
256	Burkholderia pseudomallei MSHR520	['1249659']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
257	Burkholderia pseudomallei MSHR5848	['1306420']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
258	Burkholderia pseudomallei MSHR5855	['1306421']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
259	Burkholderia pseudomallei MSHR5858	['1306417']	['40', '74']		https://en.wikipedia.org/wiki/Burkholderia_pseudomallei	
